SiteName,SiteCode,Classification,OC,Region,Province,DeviceName,DeviceIP,EventInDateTime,EventOutDateTime,AlarmDescription,RawValue
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,310,095,500.00","2,021,070,310,153,000.00",Dvbt2 Level,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,507,151,200.00","2,021,070,507,151,600.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,517,151,200.00","2,021,070,517,151,700.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,515,151,200.00","2,021,070,515,151,700.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,415,151,200.00","2,021,070,415,151,700.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,413,151,300.00","2,021,070,413,151,800.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,509,151,300.00","2,021,070,509,151,800.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,521,151,300.00","2,021,070,521,153,300.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,519,151,200.00","2,021,070,519,151,700.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,613,151,200.00","2,021,070,613,151,700.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,614,243,100.00","2,021,070,614,320,400.00",FWD Power,685
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,613,331,600.00","2,021,070,613,345,500.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,423,151,100.00","2,021,070,423,151,600.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,417,151,300.00","2,021,070,417,151,800.00",FWD Power,0
